class_name,precision,recall,f1_score,support,group
peperchili,0.7117117117117117,0.79,0.7488151658767772,200,Top 5
papaya,0.7564766839378239,0.73,0.7430025445292621,200,Top 5
watermelon,0.6844660194174758,0.705,0.6945812807881774,200,Top 5
paddy,0.585820895522388,0.785,0.6709401709401709,200,Top 5
waterapple,0.6448598130841121,0.69,0.6666666666666666,200,Top 5
bilimbi,0.3450704225352112,0.245,0.2865497076023391,200,Bottom 5
spinach,0.2985781990521327,0.315,0.3065693430656934,200,Bottom 5
mango,0.360759493670886,0.285,0.3184357541899441,200,Bottom 5
kale,0.4227642276422764,0.26,0.3219814241486068,200,Bottom 5
coconut,0.3333333333333333,0.32,0.3265306122448979,200,Bottom 5
