class_name,precision,recall,f1_score,support
aloevera,0.45549738219895286,0.435,0.44501278772378516,200
banana,0.47904191616766467,0.4,0.4359673024523161,200
bilimbi,0.4338235294117647,0.295,0.35119047619047616,200
cantaloupe,0.4029126213592233,0.415,0.4088669950738916,200
cassava,0.4681647940074906,0.625,0.5353319057815846,200
coconut,0.47023809523809523,0.395,0.42934782608695654,200
corn,0.5757575757575758,0.57,0.5728643216080402,200
cucumber,0.8091603053435115,0.53,0.6404833836858006,200
curcuma,0.705,0.705,0.705,200
eggplant,0.7513513513513513,0.695,0.7220779220779221,200
galangal,0.5579399141630901,0.65,0.6004618937644342,200
ginger,0.5362903225806451,0.665,0.59375,200
guava,0.5934579439252337,0.635,0.6135265700483091,200
kale,0.6122448979591837,0.45,0.5187319884726225,200
longbeans,0.593607305936073,0.65,0.6205250596658711,200
mango,0.381294964028777,0.265,0.31268436578171094,200
melon,0.35542168674698793,0.295,0.3224043715846995,200
orange,0.5104895104895105,0.365,0.42565597667638483,200
paddy,0.6653061224489796,0.815,0.7325842696629213,200
papaya,0.856353591160221,0.775,0.8136482939632546,200
peperchili,0.6962616822429907,0.745,0.7198067632850241,200
pineapple,0.5673076923076923,0.59,0.5784313725490197,200
pomelo,0.43956043956043955,0.6,0.507399577167019,200
shallot,0.5682656826568265,0.77,0.6539278131634819,200
soybeans,0.7237569060773481,0.655,0.6876640419947506,200
spinach,0.4358974358974359,0.425,0.43037974683544306,200
sweetpotatoes,0.6581632653061225,0.645,0.6515151515151515,200
tobacco,0.6,0.75,0.6666666666666666,200
waterapple,0.6122448979591837,0.75,0.6741573033707865,200
watermelon,0.8142076502732241,0.745,0.7780678851174935,200
