class_name,precision,recall,f1_score,support
aloevera,0.35348837209302325,0.38,0.36626506024096384,200
banana,0.43037974683544306,0.34,0.37988826815642457,200
bilimbi,0.34507042253521125,0.245,0.28654970760233917,200
cantaloupe,0.42424242424242425,0.42,0.4221105527638191,200
cassava,0.44081632653061226,0.54,0.4853932584269663,200
coconut,0.3333333333333333,0.32,0.32653061224489793,200
corn,0.5050505050505051,0.5,0.5025125628140703,200
cucumber,0.7086092715231788,0.535,0.6096866096866097,200
curcuma,0.640625,0.615,0.6275510204081632,200
eggplant,0.6954022988505747,0.605,0.6470588235294118,200
galangal,0.5373831775700935,0.575,0.5555555555555556,200
ginger,0.43636363636363634,0.6,0.5052631578947369,200
guava,0.6190476190476191,0.585,0.6015424164524421,200
kale,0.42276422764227645,0.26,0.3219814241486068,200
longbeans,0.630057803468208,0.545,0.5844504021447721,200
mango,0.36075949367088606,0.285,0.31843575418994413,200
melon,0.37,0.37,0.37,200
orange,0.4358974358974359,0.34,0.38202247191011235,200
paddy,0.585820895522388,0.785,0.6709401709401709,200
papaya,0.7564766839378239,0.73,0.7430025445292621,200
peperchili,0.7117117117117117,0.79,0.7488151658767772,200
pineapple,0.5169082125603864,0.535,0.5257985257985258,200
pomelo,0.43568464730290457,0.525,0.47619047619047616,200
shallot,0.5132450331125827,0.775,0.6175298804780877,200
soybeans,0.6197916666666666,0.595,0.6071428571428571,200
spinach,0.2985781990521327,0.315,0.30656934306569344,200
sweetpotatoes,0.643979057591623,0.615,0.629156010230179,200
tobacco,0.635,0.635,0.635,200
waterapple,0.6448598130841121,0.69,0.6666666666666666,200
watermelon,0.6844660194174758,0.705,0.6945812807881774,200
