class_name,precision,recall,f1_score,support
aloevera,0.47560975609756095,0.39,0.42857142857142855,200
banana,0.4180790960451977,0.37,0.3925729442970822,200
bilimbi,0.41134751773049644,0.29,0.34017595307917886,200
cantaloupe,0.44495412844036697,0.485,0.46411483253588515,200
cassava,0.5129310344827587,0.595,0.5509259259259259,200
coconut,0.47619047619047616,0.4,0.43478260869565216,200
corn,0.5509259259259259,0.595,0.5721153846153846,200
cucumber,0.7158469945355191,0.655,0.6840731070496083,200
curcuma,0.680952380952381,0.715,0.697560975609756,200
eggplant,0.675,0.675,0.675,200
galangal,0.5454545454545454,0.66,0.5972850678733032,200
ginger,0.5841121495327103,0.625,0.6038647342995169,200
guava,0.7261904761904762,0.61,0.6630434782608695,200
kale,0.5153374233128835,0.42,0.4628099173553719,200
longbeans,0.5811965811965812,0.68,0.6267281105990783,200
mango,0.3416149068322981,0.275,0.3047091412742382,200
melon,0.37398373983739835,0.23,0.2848297213622291,200
orange,0.5177304964539007,0.365,0.4281524926686217,200
paddy,0.6115107913669064,0.85,0.7112970711297071,200
papaya,0.8186274509803921,0.835,0.8267326732673267,200
peperchili,0.721030042918455,0.84,0.7759815242494227,200
pineapple,0.53125,0.595,0.5613207547169812,200
pomelo,0.5364806866952789,0.625,0.5773672055427251,200
shallot,0.5855513307984791,0.77,0.6652267818574514,200
soybeans,0.6772486772486772,0.64,0.6580976863753213,200
spinach,0.449438202247191,0.4,0.42328042328042326,200
sweetpotatoes,0.6944444444444444,0.625,0.6578947368421053,200
tobacco,0.5779467680608364,0.76,0.6565874730021598,200
waterapple,0.7318181818181818,0.805,0.7666666666666667,200
watermelon,0.8166666666666667,0.735,0.7736842105263158,200
